#metadataBlock	name	dataverseAlias	displayName	blockURI												
	citation		Citation Metadata	https://dataverse.org/schema/citation/												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	publicationURL	URL	Link to the publication web page (e.g., journal article page, archive record page, or other).	Enter full URL, starting with http://	url	32	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	publication	citation	https://schema.org/distribution
	relatedDatasetsMain	Related datasets	Any Datasets that are related to this Dataset, such as previous research on this subject.		text	33		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	
	relatedDatasets	Type of relation	Type of relatation to other dataset.		text	34		FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	relatedDatasetsMain	citation	
	relatedDatasetsAuthor	Author	Author or Authors of the related dataset.		text	35		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	relatedDatasetsMain	citation	
	relatedDatasetsTitle	Title	Title of the related dataset		text	36		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	relatedDatasetsMain	citation	
	relatedDatasetsIDType	Id type	The type of digital identifier used for this dataset (e.g., Digital Object Identifier (DOI)).		text	37		FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	relatedDatasetsMain	citation	
	relatedDatasetsID	Id	The identifier for the selected ID type.		url	38	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	relatedDatasetsMain	citation	
	relatedDatasetsURL	URL	Link to the dataset web page (e.g. other data repository).		url	39	<a href='#VALUE'>#VALUE</a>	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	relatedDatasetsMain	citation	
	domain	Notes	Additional important information about the Dataset.		textbox	40		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE		citation	
	languageMain				none	41		FALSE	FALSE	TRUE	TRUE	TRUE	TRUE		citation	
	language	Language	Language of the Dataset		text	42		TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	languageMain	citation	http://purl.org/dc/terms/language
	producer	Producer	Person or organization with the financial or administrative responsibility over this Dataset		none	43		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation	
	producerName	Name	Producer name	FamilyName, GivenName or Organization	text	44	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	producer	citation	
	producerAffiliation	Affiliation	The organization with which the producer is affiliated.		text	45	(#VALUE)	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	producer	citation	
